Date,House_Prices
2017-08-31,0.8772
2017-07-31,0.8772
2017-05-31,0.8772
2017-04-30,1.7544
2017-03-31,1.7544
2017-02-28,1.7544
2017-01-31,1.7544
2016-12-31,1.7544
2016-11-30,1.7544
2016-10-31,1.7544
2016-09-30,1.7544
2016-08-31,1.7544
2016-07-31,1.7544
2016-06-30,1.7544
2016-05-31,1.7544
2016-04-30,0.8772
2016-03-31,0.8772
2016-02-29,0.8772
2016-01-31,0.8772
2015-12-31,0.8772
2015-11-30,0.8772
2015-10-31,0.8772
2015-09-30,0.8772
2015-08-31,1.7544
2015-07-31,1.7544
2015-06-30,1.7544
2015-05-31,1.7544
2015-04-30,1.7544
2015-03-31,1.7544
2015-02-28,2.6316
2015-01-31,2.6316
2014-12-31,2.6316
2014-11-30,2.6316
2014-10-31,2.6316
2014-09-30,2.6316
2014-08-31,1.7544
2014-07-31,2.6316
2014-06-30,2.6316
2014-05-31,1.7544
2014-04-30,2.6316
2014-03-31,2.6316
2014-02-28,1.7544
2014-01-31,1.7544
2013-12-31,2.6316
2013-11-30,2.6316
2013-10-31,2.6316
2013-09-30,2.6316
2013-08-31,3.5088
2013-07-31,2.6316
2013-06-30,4.386
2013-05-31,4.386
2013-04-30,4.386
2013-03-31,4.386
2013-02-28,4.386
2013-01-31,4.386
2012-12-31,3.5088
2012-11-30,3.5088
2012-10-31,3.5088
2012-09-30,3.5088
2012-08-31,2.6316
2012-07-31,2.6316
2012-06-30,0.8772
2012-05-31,0.8772
